rank,name,family,power,expected_multiplicity,centre_exact,centre_float,nearest_target_separation_exact,nearest_target_separation_float,radius_fraction_exact,radius_exact,radius_float,distance_to_zero_exact,zero_outside_enclosed_region,count_method,moat_method,planned_certificate_route,count_reference_matrix,laurent_sample_count
1,alpha^1,alpha,1,1,13/20,0.65,91/400,0.2275,1/5,91/2000,0.0455,1209/2000,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,
2,alpha^2,alpha,2,1,169/400,0.4225,49/400,0.1225,1/5,49/2000,0.0245,199/500,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,
3,mu^1,mu,1,2,3/10,0.3,203/8000,0.025375,1/5,203/40000,0.005075,11797/40000,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,
4,alpha^3,alpha,3,1,2197/8000,0.274625,203/8000,0.025375,1/5,203/40000,0.005075,5391/20000,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,
5,alpha^4,alpha,4,1,28561/160000,0.17850625,199927/3200000,0.0624771875,1/5,199927/16000000,0.0124954375,2656173/16000000,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,
6,alpha^5,alpha,5,1,371293/3200000,0.1160290625,83293/3200000,0.0260290625,1/5,83293/16000000,0.0052058125,443293/4000000,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,
7,mu^2,mu,2,2,9/100,0.09,933191/64000000,0.014581109375,1/5,933191/320000000,0.002916221875,27866809/320000000,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,
8,alpha^6,alpha,6,1,4826809/64000000,0.075418890625,933191/64000000,0.014581109375,1/5,933191/320000000,0.002916221875,11600427/160000000,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,
9,alpha^7,alpha,7,1,62748517/1280000000,0.04902227890625,439239619/25600000000,0.0171577976171875,1/5,439239619/128000000000,0.0034315595234375,5835612081/128000000000,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,
10,alpha^8,alpha,8,1,815730721/25600000000,0.0318644812890625,124530721/25600000000,0.0048644812890625,1/5,124530721/128000000000,0.0009728962578125,988530721/32000000000,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,
