name,mode,coefficient_present,coefficient_frobenius_upper,residual_frobenius_upper,coefficient_sha256,precision_bits
mu^5,-21,True,0.007582369718362708,4.93832835633859e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,-20,True,0.0026442420462668764,2.3817784659332043e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,-19,True,0.010612581926167923,2.759028104709252e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,-18,True,0.0006591423151551646,2.412452025465913e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,-17,True,0.006805862303237963,3.845948803400077e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,-16,True,0.0007450766171934306,2.283094614789122e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,-15,True,0.010516160497864399,2.450243941074617e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,-14,True,0.0005717095375012979,2.3444851288272555e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,-13,True,0.0004073756271415623,3.745895816607319e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,-12,True,0.0008441059044844227,2.4632583454344685e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,-11,True,0.005007061192483486,2.6216247083287847e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,-10,True,0.0007887856904029574,2.06655498356896e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,-9,True,0.001917370245037286,4.1200140140768006e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,-8,True,0.0005851649423407325,2.2604426304666626e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,-7,True,0.009988777515295326,2.3792043967873823e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,-6,True,0.00043639361552716513,2.3964941036423887e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,-5,True,0.004311692990796757,3.9940258261067675e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,-4,True,0.0007078842803324019,2.2033171539918626e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,-3,True,151.2386418233651,2.111251586830137e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,-2,True,22833479.751119442,2.135603550158236e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,-1,True,3445977928513.247,1.036679553892057e-06,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,0,True,885410452781.6652,3.4616608264143074e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,1,True,221557910976.01373,2.494815678926935e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,2,True,55390907877.47322,1.8971218727773383e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,3,True,13847758577.0805,3.8790234670645895e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,4,True,3461945499.7675085,2.4992554830600337e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,5,True,865487826.8433484,2.1251433311264017e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
