rank,name,family,power,expected_multiplicity,centre_exact,centre_float,radius_fraction_exact,radius_exact,radius_float,zero_outside_enclosed_region,count_method,moat_method,certificate_route,count_reference_matrix,schur_diagonal_algebraic_count,schur_diagonal_membership_certified,exact_dyadic_schur_upper_triangular_certified,minimum_schur_diagonal_boundary_distance_lower,triangular_inverse_bound_upper,Q_condition_upper,surrogate_resolvent_bound_upper,surrogate_moat_lower,eta_schur_upper,A_N_circ_moat_lower,eta_A_upper,mathematical_finite_matrix_moat_lower,distance_to_zero_lower,lifted_finite_section_moat_lower,epsilon_upper,certified_small_gain_product_upper,theorem_precision_bits,theorem_epsilon_upper,theorem_small_gain_product_upper,theorem_rounding_role,legacy_5c0_compatibility_precision_bits,legacy_5c0_compatibility_epsilon_upper,legacy_5c0_compatibility_small_gain_product_upper,legacy_5c0_compatibility_serialized_moat_lower,legacy_5c0_compatibility_rounding_role,legacy_5c0_compatibility_is_conservative_upper,legacy_5c0_compatibility_theorem_gate,finite_count_matches_expected,A_N_circ_count_transport_certified,mathematical_finite_count_transport_certified,finite_count_certified,certified_small_gain_pass,finite_to_exact_rank_transfer_certified,complete_circle_covered,sampled_values_used_in_theorem_gate,laurent_used_for_count,laurent_used_for_moat,theorem_certified,status,laurent_sample_count,minimum_laurent_mode,maximum_laurent_mode,coefficient_sha256,reference_coefficient_sha256,coefficient_digest_matches_recorded_reference,coefficient_digest_used_in_theorem_gate,candidate_coefficient_matrix_count,candidate_coefficient_matrix_rows,candidate_coefficient_matrix_columns,candidate_coefficient_dtype,candidate_coefficient_layout,candidate_generation_method,candidate_generated_in_recorded_run,maximum_sample_inverse_residual_diagnostic,coefficient_frobenius_sum_upper,exact_dyadic_residual_sum_upper,neumann_margin_lower,triangular_laurent_moat_lower,schur_homotopy_product_upper,candidate_coefficients_validated_exact_dyadic,laurent_reference_matrix,inverse_sampling_seconds,elapsed_seconds
1,alpha^1,alpha,1,1,13/20,0.65,1/5,91/2000,0.0455,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,True,0.04549999999999968,34.56485476244475,1.0000000000000882,34.56485476244779,0.02893112113077436,2.5662760670356637e-15,0.028931121130771793,3.3876222373539915e-154,0.028931121130771793,0.6044999999999999,0.028931121130771793,3.3264433839016544e-20,1.149780324400762e-18,256,3.3264433839016544e-20,1.149780324400762e-18,configured-precision interval upper bounds used by theorem gates,53,3.326443383901655e-20,1.149780324400763e-18,0.028931121130771793,fixed-53-bit upward epsilon over downward serialized moat; diagnostic compatibility only,True,False,True,True,True,True,True,True,True,False,False,False,True,theorem_certified,,,,,,,,,,,,,,,,,,,,,,,,
2,alpha^2,alpha,2,1,169/400,0.4225,1/5,49/2000,0.0245,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,True,0.024499999999998762,217.3794988894132,1.0000000000000882,217.3794988894323,0.004600249817065955,2.5662760670356637e-15,0.004600249817063389,3.3876222373539915e-154,0.004600249817063389,0.39799999999999996,0.004600249817063389,3.3264433839016544e-20,7.231005958770124e-18,256,3.3264433839016544e-20,7.231005958770124e-18,configured-precision interval upper bounds used by theorem gates,53,3.326443383901655e-20,7.23100595877013e-18,0.004600249817063389,fixed-53-bit upward epsilon over downward serialized moat; diagnostic compatibility only,True,False,True,True,True,True,True,True,True,False,False,False,True,theorem_certified,,,,,,,,,,,,,,,,,,,,,,,,
3,mu^1,mu,1,2,3/10,0.3,1/5,203/40000,0.005075,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,2,True,True,0.005074999999999566,7828.094803239527,1.0000000000000882,7828.094803240215,0.00012774500375060336,2.5662760670356637e-15,0.00012774500374803708,3.3876222373539915e-154,0.00012774500374803708,0.29492499999999994,0.00012774500374803708,3.3264433839016544e-20,2.6039714167316444e-16,256,3.3264433839016544e-20,2.6039714167316444e-16,configured-precision interval upper bounds used by theorem gates,53,3.326443383901655e-20,2.603971416731647e-16,0.00012774500374803708,fixed-53-bit upward epsilon over downward serialized moat; diagnostic compatibility only,True,False,True,True,True,True,True,True,True,False,False,False,True,theorem_certified,,,,,,,,,,,,,,,,,,,,,,,,
4,alpha^3,alpha,3,1,2197/8000,0.274625,1/5,203/40000,0.005075,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,True,0.005074999999999547,9727.201858598146,1.0000000000000882,9727.201858598999,0.00010280448730648931,2.5662760670356637e-15,0.00010280448730392303,3.3876222373539915e-154,0.00010280448730392303,0.26954999999999996,0.00010280448730392303,3.3264433839016544e-20,3.2356986267220225e-16,256,3.3264433839016544e-20,3.2356986267220225e-16,configured-precision interval upper bounds used by theorem gates,53,3.326443383901655e-20,3.235698626722025e-16,0.00010280448730392303,fixed-53-bit upward epsilon over downward serialized moat; diagnostic compatibility only,True,False,True,True,True,True,True,True,True,False,False,False,True,theorem_certified,,,,,,,,,,,,,,,,,,,,,,,,
5,alpha^4,alpha,4,1,28561/160000,0.17850625,1/5,199927/16000000,0.0124954375,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,True,0.012495437499999632,3703.072109849524,1.0000000000000882,3703.0721098498493,0.00027004605104504636,2.5662760670356637e-15,0.0002700460510424801,3.3876222373539915e-154,0.0002700460510424801,0.16601081249999997,0.0002700460510424801,3.3264433839016544e-20,1.2318059720037828e-16,256,3.3264433839016544e-20,1.2318059720037828e-16,configured-precision interval upper bounds used by theorem gates,53,3.326443383901655e-20,1.231805972003784e-16,0.0002700460510424801,fixed-53-bit upward epsilon over downward serialized moat; diagnostic compatibility only,True,False,True,True,True,True,True,True,True,False,False,False,True,theorem_certified,,,,,,,,,,,,,,,,,,,,,,,,
6,alpha^5,alpha,5,1,371293/3200000,0.1160290625,1/5,83293/16000000,0.0052058125,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,True,0.005205812499998443,33429.34835247864,1.0000000000000882,33429.34835248158,2.991383467771864e-05,2.5662760670356637e-15,2.9913834675152365e-05,3.3876222373539915e-154,2.9913834675152365e-05,0.11082324999999998,2.9913834675152365e-05,3.3264433839016544e-20,1.112008346647958e-15,256,3.3264433839016544e-20,1.112008346647958e-15,configured-precision interval upper bounds used by theorem gates,53,3.326443383901655e-20,1.1120083466479588e-15,2.9913834675152365e-05,fixed-53-bit upward epsilon over downward serialized moat; diagnostic compatibility only,True,False,True,True,True,True,True,True,True,False,False,False,True,theorem_certified,,,,,,,,,,,,,,,,,,,,,,,,
7,mu^2,mu,2,2,9/100,0.09,1/5,933191/320000000,0.002916221875,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,2,True,True,0.002916221874997609,256347.19944386135,1.0000000000000882,256347.19944388384,3.900959332379626e-06,2.5662760670356637e-15,3.90095932981335e-06,3.3876222373539915e-154,3.90095932981335e-06,0.08708377812499998,3.90095932981335e-06,3.3264433839016544e-20,8.527244461327964e-15,256,3.3264433839016544e-20,8.527244461327964e-15,configured-precision interval upper bounds used by theorem gates,53,3.326443383901655e-20,8.527244461327972e-15,3.90095932981335e-06,fixed-53-bit upward epsilon over downward serialized moat; diagnostic compatibility only,True,False,True,True,True,True,True,True,True,False,False,False,True,theorem_certified,,,,,,,,,,,,,,,,,,,,,,,,
8,alpha^6,alpha,6,1,4826809/64000000,0.075418890625,1/5,933191/320000000,0.002916221875,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,True,0.0029162218749993764,312656.8427877988,1.0000000000000882,312656.8427878262,3.1983947355299544e-06,2.5662760670356637e-15,3.1983947329636784e-06,3.3876222373539915e-154,3.1983947329636784e-06,0.07250266874999999,3.1983947329636784e-06,3.3264433839016544e-20,1.0400352869576306e-14,256,3.3264433839016544e-20,1.0400352869576306e-14,configured-precision interval upper bounds used by theorem gates,53,3.326443383901655e-20,1.0400352869576312e-14,3.1983947329636784e-06,fixed-53-bit upward epsilon over downward serialized moat; diagnostic compatibility only,True,False,True,True,True,True,True,True,True,False,False,False,True,theorem_certified,,,,,,,,,,,,,,,,,,,,,,,,
9,alpha^7,alpha,7,1,62748517/1280000000,0.04902227890625,1/5,439239619/128000000000,0.0034315595234375,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,True,0.0034315595234355486,464614.424639804,1.0000000000000882,464614.42463984486,2.1523223278639485e-06,2.5662760670356637e-15,2.1523223252976725e-06,3.3876222373539915e-154,2.1523223252976725e-06,0.04559071938281249,2.1523223252976725e-06,3.3264433839016544e-20,1.5455135807512458e-14,256,3.3264433839016544e-20,1.5455135807512458e-14,configured-precision interval upper bounds used by theorem gates,53,3.326443383901655e-20,1.545513580751247e-14,2.1523223252976725e-06,fixed-53-bit upward epsilon over downward serialized moat; diagnostic compatibility only,True,False,True,True,True,True,True,True,True,False,False,False,True,theorem_certified,,,,,,,,,,,,,,,,,,,,,,,,
10,alpha^8,alpha,8,1,815730721/25600000000,0.0318644812890625,1/5,124530721/128000000000,0.0009728962578125,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,True,0.000972896257793206,12539231.695755197,1.0000000000000882,12539231.695756298,7.974970271411716e-08,2.5662760670356637e-15,7.97497001478411e-08,3.3876222373539915e-154,7.97497001478411e-08,0.030891585031249995,7.97497001478411e-08,3.3264433839016544e-20,4.171104565578362e-13,256,3.3264433839016544e-20,4.171104565578362e-13,configured-precision interval upper bounds used by theorem gates,53,3.326443383901655e-20,4.1711045655783643e-13,7.97497001478411e-08,fixed-53-bit upward epsilon over downward serialized moat; diagnostic compatibility only,True,False,True,True,True,True,True,True,True,False,False,False,True,theorem_certified,,,,,,,,,,,,,,,,,,,,,,,,
11,mu^3,mu,3,2,27/1000,0.027,1/5,124530721/128000000000,0.0009728962578125,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,2,True,True,0.000972896257786403,28951685.229413956,1.0000000000000882,28951685.229416497,3.45403036844275e-08,2.5662760670356637e-15,3.454030111815143e-08,3.3876222373539915e-154,3.454030111815143e-08,0.026027103742187495,3.454030111815143e-08,3.3264433839016544e-20,9.630614893955163e-13,256,3.3264433839016544e-20,9.630614893955163e-13,configured-precision interval upper bounds used by theorem gates,53,3.326443383901655e-20,9.630614893955173e-13,3.454030111815143e-08,fixed-53-bit upward epsilon over downward serialized moat; diagnostic compatibility only,True,False,True,True,True,True,True,True,True,False,False,False,True,theorem_certified,,,,,,,,,,,,,,,,,,,,,,,,
