real,imag,abs
1.0,0.0,1.0
0.65,-2.407412430484045e-35,0.65
0.42249999999999877,-2.603991585212031e-35,0.42249999999999877
0.3000000000000066,1.9810542095655137e-15,0.3000000000000066
0.30000000000000654,-1.942890293094024e-15,0.30000000000000654
0.27462499999999346,5.630891275089996e-37,0.27462499999999346
0.17850624999999892,-2.700245374964936e-38,0.17850624999999892
0.11602906250000417,1.2064157351325722e-35,0.11602906250000417
0.09000000000001,-6.424864219736968e-36,0.09000000000001
0.0899999999998297,-1.2114517475532647e-34,0.0899999999998297
0.07541889062521298,3.085022845768779e-36,0.07541889062521298
0.049022278906258925,-3.19956163924933e-35,0.049022278906258925
0.03186448128857296,1.0332725582244538e-34,0.03186448128857296
0.02700000000048732,2.8572603001714217e-34,0.02700000000048732
0.02700000000005751,-2.3259527462347673e-34,0.02700000000005751
0.020711912837884785,-1.2020389480275535e-35,0.020711912837884785
0.01346274334406309,3.8212089381166805e-35,0.01346274334406309
0.00875078317470775,1.6567575741965056e-34,0.00875078317470775
0.008100000001815556,2.0794661106669666e-34,0.008100000001815556
0.008099999999181342,-1.3217325919788017e-34,0.008099999999181342
0.005688009060734114,-1.7232138698391636e-34,0.005688009060734114
0.0036972058916438697,2.6580977565544327e-34,0.0036972058916438697
0.002430000036073831,-9.813656242349133e-35,0.002430000036073831
0.002429999998363857,-1.7247829183791073e-34,0.002429999998363857
0.0024031837959559415,7.19108074574483e-35,0.0024031837959559415
0.0015620694911824761,1.8666658630969941e-34,0.0015620694911824761
0.0010153451373547105,1.0167468872339212e-34,0.0010153451373547105
0.0007290000812959878,7.781200634074158e-33,0.0007290000812959878
0.0007289999674938068,-7.932825954190046e-33,0.0007289999674938068
0.0006599743957851013,5.434261729081296e-34,0.0006599743957851013
0.00042898317217667957,1.1486171540517174e-35,0.00042898317217667957
0.0002788390899734343,-1.7942558299703817e-33,0.0002788390899734343
0.0002187010843204427,1.475053096950381e-32,0.0002187010843204427
0.0002187000598772889,-1.2798829932545233e-32,0.0002187000598772889
0.00018124419992170484,1.3550715295683689e-35,0.00018124419992170484
0.00011780950727517217,-1.222522418664029e-34,0.00011780950727517217
7.657890971594195e-05,-2.7464177129967044e-35,7.657890971594195e-05
6.561012014538502e-05,2.6670999996837346e-32,6.561012014538502e-05
6.560608217196762e-05,-2.8475762595205046e-32,6.560608217196762e-05
4.977793591846018e-05,1.1286435462759264e-34,4.977793591846018e-05
3.2347728266802793e-05,5.717009389881305e-21,3.2347728266802793e-05
2.088268983995138e-05,1.7605401955967045e-19,2.088268983995138e-05
1.9823231956841873e-05,-2.585412773861613e-19,1.9823231956841873e-05
1.9762166229674826e-05,7.592836392134462e-20,1.9762166229674826e-05
1.352530855608187e-05,1.4762921419332006e-20,1.352530855608187e-05
8.759126109007477e-06,-1.741845283120283e-21,8.759126109007477e-06
7.171387994427028e-06,-1.4774745794081302e-20,7.171387994427028e-06
6.18971434768792e-06,-1.521576856796753e-22,6.18971434768792e-06
4.166592228534881e-06,-1.422733727161674e-06,4.402801614573455e-06
4.166592228534872e-06,1.422733727161672e-06,4.402801614573444e-06
3.355198233894011e-06,-1.3158913468872846e-20,3.355198233894011e-06
2.3090100975233816e-06,1.2360133448085137e-20,2.3090100975233816e-06
1.3356993449389105e-06,-1.3408808516006366e-06,1.8926315537524684e-06
1.3356993449389093e-06,1.3408808516006364e-06,1.8926315537524673e-06
1.3790903702412393e-06,4.2351626625763907e-22,1.3790903702412393e-06
7.563658749104369e-07,4.5279611493777904e-07,8.815405030012956e-07
7.563658749104361e-07,-4.527961149377792e-07,8.815405030012949e-07
2.869006805388198e-07,7.444348790150494e-07,7.978065489752445e-07
2.869006805388192e-07,-7.444348790150491e-07,7.97806548975244e-07
2.2263235493054835e-07,-3.356828790555034e-07,4.028003981538665e-07
