theta,branch,weighted_kernel,K_tail,phi_abs
0.0,1,3.2469852696212955e-237,8.132960737911388e-237,0.3992377898107434
0.0,2,1.1600668266781484e-25,1.9309916752465097e-25,0.6007622101892566
0.0,0,1.1600668266781484e-25,,
0.006135923151542565,1,2.4790669570003283e-236,6.209660689993039e-236,0.39922744265163823
0.006135923151542565,2,1.1622576771783312e-25,1.934594314471074e-25,0.6007759190050639
0.006135923151542565,0,1.1622576771783312e-25,,
0.01227184630308513,1,1.4833566655914956e-235,3.71585683859226e-235,0.3991963980381602
0.01227184630308513,2,1.1688543161764515e-25,1.945441335067894e-25,0.6008170460383785
0.01227184630308513,0,1.1688543161764515e-25,,
0.018407769454627694,1,8.697601563385928e-235,2.1790600570951742e-234,0.39914464656749227
0.018407769454627694,2,1.1799294320282293e-25,1.9636507276963116e-25,0.6008855930364371
0.018407769454627694,0,1.1799294320282293e-25,,
0.02454369260617026,1,5.091807280516164e-234,1.2759113840250814e-233,0.39907217258718897
0.02454369260617026,2,1.1956056016334822e-25,1.989421432349626e-25,0.6009815628764994
0.02454369260617026,0,1.1956056016334822e-25,,
0.030679615757712823,1,2.9768821742156574e-233,7.4612511329289195e-233,0.3989789542236035
0.030679615757712823,2,1.2160574705227339e-25,2.0230368278888203e-25,0.6011049595136508
0.030679615757712823,0,1.2160574705227339e-25,,
0.03681553890925539,1,1.7375487082205763e-232,4.356232979990151e-232,0.3988649634217922
0.03681553890925539,2,1.2415148772914765e-25,2.0648697314195196e-25,0.601255787907735
0.03681553890925539,0,1.2415148772914765e-25,,
0.04295146206079795,1,1.0121857240275716e-231,2.5385230673396953e-231,0.3987301659970005
0.04295146206079795,2,1.2722669972042387e-25,2.1153890254334185e-25,0.6014340539294261
0.04295146206079795,0,1.2722669972042387e-25,,
0.04908738521234052,1,5.882930909947174e-231,1.4759927164653603e-230,0.39857452169786767
0.04908738521234052,2,1.3086676048440925e-25,2.1751680700250122e-25,0.6016397642454563
0.04908738521234052,0,1.3086676048440925e-25,,
0.05522330836388308,1,3.4103622707927445e-230,8.560189572603228e-230,0.3983979842815121
0.05522330836388308,2,1.35114158366293e-25,2.2448951014155974e-25,0.6018729261830187
0.05522330836388308,0,1.35114158366293e-25,,
0.06135923151542565,1,1.9712601862070278e-229,4.950421152868786e-229,0.3982005016006922
