N,M,m,B_out,B_in,collocation,epsilon,qstar_power,Ccert_qstar_power,epsilon_over_Ccert_qstar,q_out,q_gap,q_star,row_role,theorem_certified
480,490,10,3.150884704059422e-18,2.967644519209432e-16,1.0734982900459327e-23,2.9678118938072535e-16,1.578601057342338e-16,2.9676456212046317e-16,1.000056028456172,0.9077687368041556,0.927,0.927,geometric_extrapolation,False
520,530,10,6.568124575405679e-20,1.430873509118332e-17,2.329210271194218e-25,1.4308886071297988e-17,7.611351089378688e-18,1.4308740404541197e-17,1.0000101802641375,0.9077687368041556,0.927,0.927,geometric_extrapolation,False
550,560,10,3.603280184129774e-21,1.4722896791178891e-18,1.3141847432313356e-26,1.4722941015851658e-18,7.831659179950761e-19,1.4722902258330187e-18,1.0000026324647675,0.9077687368041556,0.927,0.927,geometric_extrapolation,False
600,610,10,2.854033852233741e-23,3.3264421486719304e-20,1.0872470878179354e-28,3.326443383901743e-20,1.7694589291578985e-20,3.326443383901843e-20,0.9999999999999699,0.9077687368041556,0.927,0.927,certified_anchor,True
800,810,10,1.123319937006906e-31,8.668157698586845e-27,4.941823613960363e-37,8.668157699808892e-27,4.6109171161256745e-27,8.668160917391558e-27,0.9999996288044607,0.9077687368041556,0.927,0.927,geometric_extrapolation,False
1000,1010,10,4.421277904218272e-40,2.2587784344173404e-33,2.174772097593414e-45,2.2587784344195583e-33,1.2015286877496954e-33,2.2587792731845766e-33,0.9999996286644612,0.9077687368041556,0.927,0.927,geometric_extrapolation,False
1200,1210,10,1.7401719369829483e-48,5.886002762294733e-40,9.37706283416938e-54,5.886002762294827e-40,3.130984901976617e-40,5.886004947983331e-40,0.9999996286634953,0.9077687368041556,0.927,0.927,geometric_extrapolation,False
1400,1410,10,6.849147318637965e-57,1.533794903911327e-46,3.98655259612597e-62,1.5337949039113274e-46,8.158828462735562e-47,1.5337954734656017e-46,0.9999996286634795,0.9077687368041556,0.927,0.927,geometric_extrapolation,False
1600,1610,10,2.695757700456774e-65,3.9968156697690615e-53,1.6774420124857892e-70,3.9968156697690615e-53,2.126055665178071e-53,3.9968171539332373e-53,0.9999996286634794,0.9077687368041556,0.927,0.927,geometric_extrapolation,False
1800,1810,10,1.0610239846639985e-73,1.041504014479047e-59,7.002863580313537e-79,1.041504014479047e-59,5.540149191861093e-60,1.0415044012276677e-59,0.9999996286634792,0.9077687368041556,0.927,0.927,geometric_extrapolation,False
2000,2010,10,4.176087101008804e-82,2.713987088222779e-66,2.9053923705203747e-87,2.713987088222779e-66,1.443671187485505e-66,2.713988096025675e-66,0.9999996286634795,0.9077687368041556,0.927,0.927,geometric_extrapolation,False
