N,M,m,name,error,source,qstar_power,error_over_qstar_power
10,10,0,alpha^1,5.7668884830597326e-08,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.4685946667745483,1.230677361898853e-07
20,20,0,alpha^1,4.1475188416193376e-15,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.21958096172954997,1.8888335349982156e-14
30,30,0,alpha^1,4.677170717803678e-21,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.1028944675916933,4.545599804611135e-20
40,40,0,alpha^1,1.72197849984669e-27,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.04821579875407408,3.5713988865551844e-26
50,50,0,alpha^1,4.671336676777947e-34,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.022593666150434025,2.0675425783823982e-32
60,60,0,alpha^1,9.9516733665686e-41,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.010587271460978024,9.399658262516385e-39
70,70,0,alpha^1,1.4746143944640823e-47,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.004961138942308682,2.9723303693201257e-45
80,80,0,alpha^1,2.2317120804979123e-55,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.002324763249493372,9.599739160468329e-53
90,90,0,alpha^1,8.529980141257249e-61,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.0010893716602260626,7.830183630338922e-58
100,100,0,alpha^1,3.998185254474666e-67,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.0005104737501172682,7.832303333043445e-64
10,10,0,alpha^2,4.459883547072277e-05,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.4685946667745483,9.517572143470489e-05
20,20,0,alpha^2,9.9628592130339e-12,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.21958096172954997,4.537214490072594e-11
30,30,0,alpha^2,7.911018031400976e-18,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.1028944675916933,7.688477540691056e-17
40,40,0,alpha^2,3.2674524322994723e-24,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.04821579875407408,6.776725713837486e-23
50,50,0,alpha^2,8.071095602008246e-31,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.022593666150434025,3.572282403514757e-29
60,60,0,alpha^2,4.604176953180369e-38,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.010587271460978024,4.348785208871037e-36
70,70,0,alpha^2,7.256129550889845e-44,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.004961138942308682,1.4625934962251194e-41
80,80,0,alpha^2,4.7677061321843535e-50,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.002324763249493372,2.0508351262105354e-47
90,90,0,alpha^2,1.943120173837412e-56,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.0010893716602260626,1.7837072918109348e-53
100,100,0,alpha^2,6.015873376087107e-63,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.0005104737501172682,1.1784882914557536e-59
10,10,0,alpha^3,0.012331137168477,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.4685946667745483,0.02631514620803355
20,20,0,alpha^3,2.3368448619916687e-10,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.21958096172954997,1.0642292681411411e-09
30,30,0,alpha^3,4.19759831281045e-16,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.1028944675916933,4.079517986785641e-15
40,40,0,alpha^3,3.352382655136637e-22,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.04821579875407408,6.952871759390632e-21
50,50,0,alpha^3,1.475459545165892e-28,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.022593666150434025,6.53041226395898e-27
60,60,0,alpha^3,2.8615490232800607e-35,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.010587271460978024,2.7028201117039446e-33
70,70,0,alpha^3,1.1897655676223954e-41,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.004961138942308682,2.39817022151114e-39
80,80,0,alpha^3,1.4753626328676387e-47,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.002324763249493372,6.346291964092084e-45
90,90,0,alpha^3,8.514486749598256e-54,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.0010893716602260626,7.815961310973849e-51
100,100,0,alpha^3,3.5253083476625047e-60,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.0005104737501172682,6.905954217729424e-57
10,10,0,alpha^5,0.0806501420561081,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.4685946667745483,0.17211066999810892
20,20,0,alpha^5,9.797343283967356e-06,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.21958096172954997,4.46183640275444e-05
30,30,0,alpha^5,5.777497426599559e-13,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.1028944675916933,5.6149738288416764e-12
40,40,0,alpha^5,8.649354351633234e-19,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.04821579875407408,1.793883866935294e-17
50,50,0,alpha^5,8.262578964353456e-26,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.022593666150434025,3.657033307184072e-24
60,60,0,alpha^5,1.3296192467835614e-30,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.010587271460978024,1.2558658306667568e-28
70,70,0,alpha^5,2.0789531933114426e-36,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.004961138942308682,4.190475649819223e-34
