N,M,m,name,error,source
10,10,0,alpha^1,5.7668884830597326e-08,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
20,20,0,alpha^1,4.1475188416193376e-15,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
30,30,0,alpha^1,4.677170717803678e-21,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
40,40,0,alpha^1,1.72197849984669e-27,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
50,50,0,alpha^1,4.671336676777947e-34,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
60,60,0,alpha^1,9.9516733665686e-41,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
70,70,0,alpha^1,1.4746143944640823e-47,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
80,80,0,alpha^1,2.2317120804979123e-55,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
90,90,0,alpha^1,8.529980141257249e-61,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
100,100,0,alpha^1,3.998185254474666e-67,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
20,20,0,alpha^10,0.0279578922337208,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
30,30,0,alpha^10,0.0002370352923312,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
40,40,0,alpha^10,2.5429422776525178e-08,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
50,50,0,alpha^10,1.7155150473664573e-15,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
60,60,0,alpha^10,3.4260915188599465e-22,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
70,70,0,alpha^10,6.082910006899723e-28,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
