rho,q_gap_target,r_candidate,q_out,q_star,r_tau_interval_u,phi_star_interval_u,two_B_out_u,branch_image_B_in_u,tail_floor_u,input_over_output,max_input_cell,Z_tail_out_u,Z_terms_used,cells,max_abs_mu_cos_u,acos_unit_disk_margin_l,min_abs_1_minus_y2_l,branch1_r_tau_u,branch2_r_tau_u,branch1_phi_u,branch2_phi_u,status,nearest_basic_singularity_radius,basic_singularity_margin,basic_singularity_safe,analytic_branch_sufficient,branch_image_in_Er_sufficient,admissible_chain_sufficient,q_gap_certified_u,configuration_digest,producer_schema,boundary_blocks,rho_grid_index,q_gap_grid_index,selected,selection_rank,selection_rule
2.725,0.927,2.47366980779132410932127326000000000000000000000000000000000000000000000000000000E+0,9.07768736804155636448173673400000000000000000000000000000000000000000000000000000E-1,9.27000000000000000000000000000000000000000000000000000000000000000000000000000000E-1,2.29309191182255744934082031200000000000000000000000000000000000000000000000000000E+0,4.72831506282091140747070312500000000000000000000000000000000000000000000000000000E+0,4.71680038217958844942366491200000000000000000000000000000000000000000000000000000E-20,3.52279983991245203840646592600000000000000000000000000000000000000000000000000000E-20,8.23960022209204048783013083800000000000000000000000000000000000000000000000000000E-20,7.46862185057023728984871159200000000000000000000000000000000000000000000000000000E-1,25350,1.34299199750859668355332686900000000000000000000000000000000000000000000000000000E-23,488,65536,9.79412461173394977009820650000000000000000000000000000000000000000000000000000000E-1,2.05875388266050229901793500000000000000000000000000000000000000000000000000000000E-2,4.07502769376151263713836669900000000000000000000000000000000000000000000000000000E-2,2.29309191182255744934082031200000000000000000000000000000000000000000000000000000E+0,2.29309191182255744934082031200000000000000000000000000000000000000000000000000000E+0,2.39343874529004096984863281200000000000000000000000000000000000000000000000000000E+0,2.39343874529004096984863281200000000000000000000000000000000000000000000000000000E+0,ok,2.74952165887108587733433227500000000000000000000000000000000000000000000000000000E+0,2.45216588710858773343322754700000000000000000000000000000000000000000000000000000E-2,True,True,True,True,9.27000000000000000000000000000000000000000000000000000000000000000000000000000000E-1,8bd24292d75f65571d0f5b8027c16c6d6eb43f0f9ba0cd1d8e361074f8baf66c,phase2-geometry-v2,24,2,2,True,1,minimum certified historical tail-floor upper; q-star and grid order are tie-breakers
2.7125,0.927,2.46317457194724386435367785900000000000000000000000000000000000000000000000000000E+0,9.08082791501288060591217643800000000000000000000000000000000000000000000000000000E-1,9.27000000000000000000000000000000000000000000000000000000000000000000000000000000E-1,2.28336282819509506225585937500000000000000000000000000000000000000000000000000000E+0,3.86796364560723304748535156200000000000000000000000000000000000000000000000000000E+0,4.77915778586738948817673717800000000000000000000000000000000000000000000000000000E-20,3.50987331036842780465881920100000000000000000000000000000000000000000000000000000E-20,8.28903109623581729283555637900000000000000000000000000000000000000000000000000000E-20,7.34412519450099324415255628500000000000000000000000000000000000000000000000000000E-1,25368,1.66265531071601975971461514100000000000000000000000000000000000000000000000000000E-23,490,65536,9.69081573249852556983796603200000000000000000000000000000000000000000000000000000E-1,3.09184267501474430162033968000000000000000000000000000000000000000000000000000000E-2,6.08803490176796913146972656200000000000000000000000000000000000000000000000000000E-2,2.28336282819509506225585937500000000000000000000000000000000000000000000000000000E+0,2.28336282819509506225585937500000000000000000000000000000000000000000000000000000E+0,1.96850541606545448303222656200000000000000000000000000000000000000000000000000000E+0,1.96850541606545448303222656200000000000000000000000000000000000000000000000000000E+0,ok,2.74952165887108587733433227500000000000000000000000000000000000000000000000000000E+0,3.70216588710858773343322754700000000000000000000000000000000000000000000000000000E-2,True,True,True,True,9.27000000000000000000000000000000000000000000000000000000000000000000000000000000E-1,8bd24292d75f65571d0f5b8027c16c6d6eb43f0f9ba0cd1d8e361074f8baf66c,phase2-geometry-v2,24,1,2,False,2,minimum certified historical tail-floor upper; q-star and grid order are tie-breakers
2.700,0.927,2.45271035607707281843101065300000000000000000000000000000000000000000000000000000E+0,9.08411242991508451270744686200000000000000000000000000000000000000000000000000000E-1,9.27000000000000000000000000000000000000000000000000000000000000000000000000000000E-1,2.27366250008344650268554687500000000000000000000000000000000000000000000000000000E+0,3.36169266141951084136962890600000000000000000000000000000000000000000000000000000E+0,5.19453727907425447822414277300000000000000000000000000000000000000000000000000000E-20,3.49257152962479418462929319400000000000000000000000000000000000000000000000000000E-20,8.68710880869904866285343596700000000000000000000000000000000000000000000000000000E-20,6.72354695324705328300408316900000000000000000000000000000000000000000000000000000E-1,25515,2.07835302546351192872242528400000000000000000000000000000000000000000000000000000E-23,491,65536,9.58859871596621005096494627700000000000000000000000000000000000000000000000000000E-1,4.11401284033789949035053723000000000000000000000000000000000000000000000000000000E-2,8.05873851059004664421081543000000000000000000000000000000000000000000000000000000E-2,2.27366250008344650268554687500000000000000000000000000000000000000000000000000000E+0,2.27366250008344650268554687500000000000000000000000000000000000000000000000000000E+0,1.72011542320251464843750000000000000000000000000000000000000000000000000000000000E+0,1.72011542320251464843750000000000000000000000000000000000000000000000000000000000E+0,ok,2.74952165887108587733433227500000000000000000000000000000000000000000000000000000E+0,4.95216588710858773343322754700000000000000000000000000000000000000000000000000000E-2,True,True,True,True,9.27000000000000000000000000000000000000000000000000000000000000000000000000000000E-1,8bd24292d75f65571d0f5b8027c16c6d6eb43f0f9ba0cd1d8e361074f8baf66c,phase2-geometry-v2,24,0,2,False,3,minimum certified historical tail-floor upper; q-star and grid order are tie-breakers
2.735,0.927,2.48208534707915049926362762900000000000000000000000000000000000000000000000000000E+0,9.07526635129488299547944288400000000000000000000000000000000000000000000000000000E-1,9.27000000000000000000000000000000000000000000000000000000000000000000000000000000E-1,2.30089311674237251281738281200000000000000000000000000000000000000000000000000000E+0,6.11983631178736686706542968800000000000000000000000000000000000000000000000000000E+0,5.17609042545591761732405145500000000000000000000000000000000000000000000000000000E-20,3.52855472097490900178325449500000000000000000000000000000000000000000000000000000E-20,8.70464514643082661910730595000000000000000000000000000000000000000000000000000000E-20,6.81702681162898876455398884300000000000000000000000000000000000000000000000000000E-1,25336,1.13907153925063251244148828100000000000000000000000000000000000000000000000000000E-23,486,65536,9.87756485236774395275460847200000000000000000000000000000000000000000000000000000E-1,1.22435147632256047245391528000000000000000000000000000000000000000000000000000000E-2,2.43353500554803758859634399400000000000000000000000000000000000000000000000000000E-2,2.30089311674237251281738281200000000000000000000000000000000000000000000000000000E+0,2.30089311674237251281738281200000000000000000000000000000000000000000000000000000E+0,3.08489512279629707336425781200000000000000000000000000000000000000000000000000000E+0,3.08489512279629707336425781200000000000000000000000000000000000000000000000000000E+0,ok,2.74952165887108587733433227500000000000000000000000000000000000000000000000000000E+0,1.45216588710858773343322754700000000000000000000000000000000000000000000000000000E-2,True,True,True,True,9.27000000000000000000000000000000000000000000000000000000000000000000000000000000E-1,8bd24292d75f65571d0f5b8027c16c6d6eb43f0f9ba0cd1d8e361074f8baf66c,phase2-geometry-v2,24,3,2,False,4,minimum certified historical tail-floor upper; q-star and grid order are tie-breakers
2.725,0.928,2.47100421532603173420347016400000000000000000000000000000000000000000000000000000E+0,9.06790537734323572184759693100000000000000000000000000000000000000000000000000000E-1,9.28000000000000000000000000000000000000000000000000000000000000000000000000000000E-1,2.29309191182255744934082031200000000000000000000000000000000000000000000000000000E+0,4.72831506282091140747070312500000000000000000000000000000000000000000000000000000E+0,2.51383354214964510315661509100000000000000000000000000000000000000000000000000000E-20,6.77198109348523467244689786200000000000000000000000000000000000000000000000000000E-20,9.28581463563487977560351295300000000000000000000000000000000000000000000000000000E-20,2.69388604294552284944336599400000000000000000000000000000000000000000000000000000E+0,25350,6.95834946100696630742972777700000000000000000000000000000000000000000000000000000E-24,482,65536,9.79412461173394977009820650000000000000000000000000000000000000000000000000000000E-1,2.05875388266050229901793500000000000000000000000000000000000000000000000000000000E-2,4.07502769376151263713836669900000000000000000000000000000000000000000000000000000E-2,2.29309191182255744934082031200000000000000000000000000000000000000000000000000000E+0,2.29309191182255744934082031200000000000000000000000000000000000000000000000000000E+0,2.39343874529004096984863281200000000000000000000000000000000000000000000000000000E+0,2.39343874529004096984863281200000000000000000000000000000000000000000000000000000E+0,ok,2.74952165887108587733433227500000000000000000000000000000000000000000000000000000E+0,2.45216588710858773343322754700000000000000000000000000000000000000000000000000000E-2,True,True,True,True,9.28000000000000000000000000000000000000000000000000000000000000000000000000000000E-1,8bd24292d75f65571d0f5b8027c16c6d6eb43f0f9ba0cd1d8e361074f8baf66c,phase2-geometry-v2,24,2,3,False,5,minimum certified historical tail-floor upper; q-star and grid order are tie-breakers
2.7125,0.928,2.46052028900333519639640018900000000000000000000000000000000000000000000000000000E+0,9.07104254010446155353511590300000000000000000000000000000000000000000000000000000E-1,9.28000000000000000000000000000000000000000000000000000000000000000000000000000000E-1,2.28336282819509506225585937500000000000000000000000000000000000000000000000000000E+0,3.86796364560723304748535156200000000000000000000000000000000000000000000000000000E+0,2.54696990136143397047273278500000000000000000000000000000000000000000000000000000E-20,6.74713031946714160610758243300000000000000000000000000000000000000000000000000000E-20,9.29410022082857557658031521900000000000000000000000000000000000000000000000000000E-20,2.64908129297507298508219046100000000000000000000000000000000000000000000000000000E+0,25368,8.61425249119319360956597085600000000000000000000000000000000000000000000000000000E-24,484,65536,9.69081573249852556983796603200000000000000000000000000000000000000000000000000000E-1,3.09184267501474430162033968000000000000000000000000000000000000000000000000000000E-2,6.08803490176796913146972656200000000000000000000000000000000000000000000000000000E-2,2.28336282819509506225585937500000000000000000000000000000000000000000000000000000E+0,2.28336282819509506225585937500000000000000000000000000000000000000000000000000000E+0,1.96850541606545448303222656200000000000000000000000000000000000000000000000000000E+0,1.96850541606545448303222656200000000000000000000000000000000000000000000000000000E+0,ok,2.74952165887108587733433227500000000000000000000000000000000000000000000000000000E+0,3.70216588710858773343322754700000000000000000000000000000000000000000000000000000E-2,True,True,True,True,9.28000000000000000000000000000000000000000000000000000000000000000000000000000000E-1,8bd24292d75f65571d0f5b8027c16c6d6eb43f0f9ba0cd1d8e361074f8baf66c,phase2-geometry-v2,24,1,3,False,6,minimum certified historical tail-floor upper; q-star and grid order are tie-breakers
2.740,0.927,2.48629772209812522320299858500000000000000000000000000000000000000000000000000000E+0,9.07407927773038402628831600200000000000000000000000000000000000000000000000000000E-1,9.27000000000000000000000000000000000000000000000000000000000000000000000000000000E-1,2.30479798838496208190917968800000000000000000000000000000000000000000000000000000E+0,7.54392751678824424743652343800000000000000000000000000000000000000000000000000000E+0,5.88440874942346302835711149900000000000000000000000000000000000000000000000000000E-20,3.53144988821239951030203901000000000000000000000000000000000000000000000000000000E-20,9.41585863763586253865915050800000000000000000000000000000000000000000000000000000E-20,6.00136740765739723535478703900000000000000000000000000000000000000000000000000000E-1,25329,1.05068293548931147949086177600000000000000000000000000000000000000000000000000000E-23,486,65536,9.91955120027729453369147449800000000000000000000000000000000000000000000000000000E-1,8.04487997227054663085255020000000000000000000000000000000000000000000000000000000E-3,1.60222009581048041582107543900000000000000000000000000000000000000000000000000000E-2,2.30479798838496208190917968800000000000000000000000000000000000000000000000000000E+0,2.30479798838496208190917968800000000000000000000000000000000000000000000000000000E+0,3.79557037353515625000000000000000000000000000000000000000000000000000000000000000E+0,3.79557037353515625000000000000000000000000000000000000000000000000000000000000000E+0,ok,2.74952165887108587733433227500000000000000000000000000000000000000000000000000000E+0,9.52165887108587733433227547300000000000000000000000000000000000000000000000000000E-3,True,True,True,True,9.27000000000000000000000000000000000000000000000000000000000000000000000000000000E-1,8bd24292d75f65571d0f5b8027c16c6d6eb43f0f9ba0cd1d8e361074f8baf66c,phase2-geometry-v2,24,4,2,False,7,minimum certified historical tail-floor upper; q-star and grid order are tie-breakers
2.700,0.928,2.45006734922785183479045999500000000000000000000000000000000000000000000000000000E+0,9.07432351565871049922392590600000000000000000000000000000000000000000000000000000E-1,9.28000000000000000000000000000000000000000000000000000000000000000000000000000000E-1,2.27366250008344650268554687500000000000000000000000000000000000000000000000000000E+0,3.36169266141951084136962890600000000000000000000000000000000000000000000000000000E+0,2.76822778375382858236955250400000000000000000000000000000000000000000000000000000E-20,6.71387197593349646648578020700000000000000000000000000000000000000000000000000000E-20,9.48209975968732504885533271100000000000000000000000000000000000000000000000000000E-20,2.42533219821571732766963400400000000000000000000000000000000000000000000000000000E+0,25515,1.07675358351336228036718606600000000000000000000000000000000000000000000000000000E-23,486,65536,9.58859871596621005096494627700000000000000000000000000000000000000000000000000000E-1,4.11401284033789949035053723000000000000000000000000000000000000000000000000000000E-2,8.05873851059004664421081543000000000000000000000000000000000000000000000000000000E-2,2.27366250008344650268554687500000000000000000000000000000000000000000000000000000E+0,2.27366250008344650268554687500000000000000000000000000000000000000000000000000000E+0,1.72011542320251464843750000000000000000000000000000000000000000000000000000000000E+0,1.72011542320251464843750000000000000000000000000000000000000000000000000000000000E+0,ok,2.74952165887108587733433227500000000000000000000000000000000000000000000000000000E+0,4.95216588710858773343322754700000000000000000000000000000000000000000000000000000E-2,True,True,True,True,9.28000000000000000000000000000000000000000000000000000000000000000000000000000000E-1,8bd24292d75f65571d0f5b8027c16c6d6eb43f0f9ba0cd1d8e361074f8baf66c,phase2-geometry-v2,24,0,3,False,8,minimum certified historical tail-floor upper; q-star and grid order are tie-breakers
2.735,0.928,2.47941068614479796639804182300000000000000000000000000000000000000000000000000000E+0,9.06548696945081523363086589900000000000000000000000000000000000000000000000000000E-1,9.28000000000000000000000000000000000000000000000000000000000000000000000000000000E-1,2.30089311674237251281738281200000000000000000000000000000000000000000000000000000E+0,6.11983631178736686706542968800000000000000000000000000000000000000000000000000000E+0,2.75869417766490539723126984400000000000000000000000000000000000000000000000000000E-20,6.78304386955007724237407614500000000000000000000000000000000000000000000000000000E-20,9.54173804721498263960534599000000000000000000000000000000000000000000000000000000E-20,2.45878790206878951759993765900000000000000000000000000000000000000000000000000000E+0,25336,5.90197239108427061694222363000000000000000000000000000000000000000000000000000000E-24,481,65536,9.87756485236774395275460847200000000000000000000000000000000000000000000000000000E-1,1.22435147632256047245391528000000000000000000000000000000000000000000000000000000E-2,2.43353500554803758859634399400000000000000000000000000000000000000000000000000000E-2,2.30089311674237251281738281200000000000000000000000000000000000000000000000000000E+0,2.30089311674237251281738281200000000000000000000000000000000000000000000000000000E+0,3.08489512279629707336425781200000000000000000000000000000000000000000000000000000E+0,3.08489512279629707336425781200000000000000000000000000000000000000000000000000000E+0,ok,2.74952165887108587733433227500000000000000000000000000000000000000000000000000000E+0,1.45216588710858773343322754700000000000000000000000000000000000000000000000000000E-2,True,True,True,True,9.28000000000000000000000000000000000000000000000000000000000000000000000000000000E-1,8bd24292d75f65571d0f5b8027c16c6d6eb43f0f9ba0cd1d8e361074f8baf66c,phase2-geometry-v2,24,3,3,False,9,minimum certified historical tail-floor upper; q-star and grid order are tie-breakers
2.740,0.928,2.48361852196655396757454707800000000000000000000000000000000000000000000000000000E+0,9.06430117506041594005309152400000000000000000000000000000000000000000000000000000E-1,9.28000000000000000000000000000000000000000000000000000000000000000000000000000000E-1,2.30479798838496208190917968800000000000000000000000000000000000000000000000000000E+0,7.54392751678824424743652343800000000000000000000000000000000000000000000000000000E+0,3.13625038017885308418295437800000000000000000000000000000000000000000000000000000E-20,6.78860933414804621925837460700000000000000000000000000000000000000000000000000000E-20,9.92485971432689930344132898500000000000000000000000000000000000000000000000000000E-20,2.16456229931518017898803965800000000000000000000000000000000000000000000000000000E+0,25329,5.44407848368747514485414665300000000000000000000000000000000000000000000000000000E-24,480,65536,9.91955120027729453369147449800000000000000000000000000000000000000000000000000000E-1,8.04487997227054663085255020000000000000000000000000000000000000000000000000000000E-3,1.60222009581048041582107543900000000000000000000000000000000000000000000000000000E-2,2.30479798838496208190917968800000000000000000000000000000000000000000000000000000E+0,2.30479798838496208190917968800000000000000000000000000000000000000000000000000000E+0,3.79557037353515625000000000000000000000000000000000000000000000000000000000000000E+0,3.79557037353515625000000000000000000000000000000000000000000000000000000000000000E+0,ok,2.74952165887108587733433227500000000000000000000000000000000000000000000000000000E+0,9.52165887108587733433227547300000000000000000000000000000000000000000000000000000E-3,True,True,True,True,9.28000000000000000000000000000000000000000000000000000000000000000000000000000000E-1,8bd24292d75f65571d0f5b8027c16c6d6eb43f0f9ba0cd1d8e361074f8baf66c,phase2-geometry-v2,24,4,3,False,10,minimum certified historical tail-floor upper; q-star and grid order are tie-breakers
