rank,target,family,expected_multiplicity,finite_eigenvalue_count,radius,s_min_gamma,epsilon_m_gamma,max_numeric_error,sampled_validation_pass,diagnostic_status,configuration_digest,source_digest,cache_key
1,alpha^1,alpha packet,1,1,0.1137499999999999,2.5077010173905985e-11,4.6421679990026785e-07,1.1102230246251565e-16,True,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
2,alpha^2,alpha packet,1,1,0.06124999999999908,7.755399057508108e-12,1.5010406721401552e-06,3.3306690738754696e-16,True,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
3,mu^1,mu packet,2,2,0.012687500000001295,7.544489453319001e-13,1.543002940891629e-05,2.1649348980190553e-15,True,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
4,alpha^3,alpha packet,1,1,0.012687500000000379,7.544490739908638e-13,1.5430026777576863e-05,4.440892098500626e-16,True,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
5,alpha^4,alpha packet,1,1,0.031238593750000133,3.3463036155139283e-12,3.47881446262886e-06,5.828670879282072e-16,True,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
6,alpha^5,alpha packet,1,1,0.013014531249990906,4.304394919240962e-13,2.7044845169666502e-05,3.191891195797325e-16,True,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
7,mu^2,mu packet,2,2,0.007290554687525215,9.416947615240553e-14,0.000123619349810939,1.8512968935624485e-14,True,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
8,alpha^6,alpha packet,1,1,0.007290554687516278,9.417009853082001e-14,0.00012361853279984806,3.191891195797325e-14,True,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
9,alpha^7,alpha packet,1,1,0.008578898808484801,8.613337363372011e-14,0.0001351528324375272,8.743006318923108e-16,True,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
10,alpha^8,alpha packet,1,1,0.0024322406446364037,3.899219298444385e-15,0.0029855128739851608,2.187694470023871e-13,True,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
