rank,target,family,centre,radius,theta_min,s_min_gamma,d_Gamma0,m_gamma_X,epsilon_X,epsilon_m_gamma,pass_sampled_small_gain,pass_sampled_packet,profile_status,diagnostic_status,configuration_digest,source_digest,cache_key
1,alpha^1,alpha packet,0.65,0.1137499999999999,3.141592653589793,2.5077010173905985e-11,0.5362500000000001,39877162112.43377,1.1641169413997097e-17,4.6421679990026785e-07,True,True,sampled contour minimum over the source-rebuilt Phase 4 grid,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
2,alpha^2,alpha packet,0.4225,0.06124999999999908,3.141592653589793,7.755399057508108e-12,0.3612500000000009,128942429987.77559,1.1641169413997097e-17,1.5010406721401552e-06,True,True,sampled contour minimum over the source-rebuilt Phase 4 grid,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
3,mu^1,mu packet,0.3,0.012687500000001295,3.141592653589793,7.544489453319001e-13,0.2873124999999987,1325470737532.9104,1.1641169413997097e-17,1.543002940891629e-05,True,True,sampled contour minimum over the source-rebuilt Phase 4 grid,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
4,alpha^3,alpha packet,0.274625,0.012687500000000379,0.0,7.544490739908638e-13,0.2619374999999996,1325470511495.531,1.1641169413997097e-17,1.5430026777576863e-05,True,True,sampled contour minimum over the source-rebuilt Phase 4 grid,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
5,alpha^4,alpha packet,0.17850625,0.031238593750000133,3.141592653589793,3.3463036155139283e-12,0.14726765624999988,298837199160.2499,1.1641169413997097e-17,3.47881446262886e-06,True,True,sampled contour minimum over the source-rebuilt Phase 4 grid,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
6,alpha^5,alpha packet,0.1160290625,0.013014531249990906,3.141592653589793,4.304394919240962e-13,0.10301453125000909,2323206905411.7837,1.1641169413997097e-17,2.7044845169666502e-05,True,True,sampled contour minimum over the source-rebuilt Phase 4 grid,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
7,mu^2,mu packet,0.09,0.007290554687525215,3.141592653589793,9.416947615240553e-14,0.08270944531247479,10619152201522.1,1.1641169413997097e-17,0.000123619349810939,True,True,sampled contour minimum over the source-rebuilt Phase 4 grid,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
8,alpha^6,alpha packet,0.075418890625,0.007290554687516278,0.0,9.417009853082001e-14,0.06812833593748371,10619082018616.768,1.1641169413997097e-17,0.00012361853279984806,True,True,sampled contour minimum over the source-rebuilt Phase 4 grid,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
9,alpha^7,alpha packet,0.04902227890625,0.008578898808484801,3.141592653589793,8.613337363372011e-14,0.0404433800977652,11609901688658.725,1.1641169413997097e-17,0.0001351528324375272,True,True,sampled contour minimum over the source-rebuilt Phase 4 grid,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
10,alpha^8,alpha packet,0.0318644812890625,0.0024322406446364037,3.141592653589793,3.899219298444385e-15,0.0294322406444261,256461594863093.62,1.1641169413997097e-17,0.0029855128739851608,True,True,sampled contour minimum over the source-rebuilt Phase 4 grid,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
11,mu^3,mu packet,0.027,0.00243224064477344,0.0,3.899638181086588e-15,0.024567759355226558,256434046843125.8,1.1641169413997097e-17,0.0029851921828176952,True,True,sampled contour minimum over the source-rebuilt Phase 4 grid,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
12,alpha^9,alpha packet,0.020711912837890624,0.0031440435809279178,0.0,5.76051543061716e-15,0.017567869256962708,173595577000800.4,1.1641169413997097e-17,0.0020208555213868957,True,True,sampled contour minimum over the source-rebuilt Phase 4 grid,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
13,alpha^10,alpha packet,0.013462743344628906,0.0023559800852685194,3.141592653589793,1.1763896487853094e-15,0.011106763259360386,850058482776143.1,1.1641169413997097e-17,0.009895674809802416,True,True,sampled contour minimum over the source-rebuilt Phase 4 grid,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
