rank,target,centre,expected_multiplicity,selected_count,selected_eigenvalues,max_numeric_error,radius,epsilon_m_gamma,pass_sampled_packet,contour_interval_certified,validation_status,pass_sampled_small_gain,sampled_validation_pass
1,alpha^1,0.65,1,1,0.6500000000000022+0.00e+00i,2.220446049250313e-15,0.1137500000000012,4.64239150069577e-07,True,False,sampled_not_interval_certified,True,True
2,alpha^2,0.4225,1,1,0.4224999999999997+1.16e-38i,2.7755575615628914e-16,0.0612499999999998,1.5010811514139188e-06,True,False,sampled_not_interval_certified,True,True
3,mu^1,0.3,2,2,0.2999999999999997+1.06e-37i; 0.3000000000000006-1.76e-38i,6.106226635438361e-16,0.012687500000001,1.542866884378543e-05,True,False,sampled_not_interval_certified,True,True
4,alpha^3,0.274625,1,1,0.2746249999999986+1.20e-38i,1.4432899320127037e-15,0.0126875000000005,1.542863559971741e-05,True,False,sampled_not_interval_certified,True,True
5,alpha^4,0.17850625,1,1,0.1785062499999992+1.16e-38i,8.326672684688674e-16,0.0312385937499994,3.4790222629842342e-06,True,False,sampled_not_interval_certified,True,True
6,alpha^5,0.1160290625,1,1,0.116029062500002+4.72e-38i,1.970645868709653e-15,0.0130145312500021,2.7044971966590692e-05,True,False,sampled_not_interval_certified,True,True
7,mu^2,0.09,2,2,0.08999999999999769-4.05e-38i; 0.0899999999999852+4.06e-38i,1.479372180313021e-14,0.0072905546874929,0.00012364308288445597,True,False,sampled_not_interval_certified,True,True
8,alpha^6,0.075418890625,1,1,0.07541889062502888+3.22e-38i,2.8879676428061885e-14,0.007290554687507,0.00012364308288445597,True,False,sampled_not_interval_certified,True,True
9,alpha^7,0.04902227890625,1,1,0.04902227890625218+4.99e-38i,2.1788126858268697e-15,0.0085788988086916,0.00013518100948308037,True,False,sampled_not_interval_certified,True,True
10,alpha^8,0.0318644812890625,1,1,0.03186448128886894-1.31e-38i,1.935673843433961e-13,0.0024322406445105,0.002986912243086561,True,False,sampled_not_interval_certified,True,True
11,mu^3,0.0269999999999999,2,2,0.02699999999999529-3.44e-38i; 0.02700000000023464-2.43e-38i,2.3473931132222973e-13,0.0024322406445519,0.002986912243086561,True,False,sampled_not_interval_certified,True,True
12,alpha^9,0.0207119128378906,1,1,0.02071191283789745+1.31e-38i,6.848688283156434e-15,0.0031440435810557,0.00202169145279583,True,False,sampled_not_interval_certified,True,True
13,alpha^10,0.0134627433446289,1,1,0.0134627433444994+1.05e-38i,1.294953727581927e-13,0.0023559800853919,0.009895808817997334,True,False,sampled_not_interval_certified,True,True
14,alpha^11,0.0087507831740087,1,1,0.008750783173986859-1.56e-38i,2.1840168562547998e-14,0.0003253915868584,0.495680416526457,True,False,sampled_not_interval_certified,True,True
15,mu^4,0.0081,2,2,0.00810000000006203-7.83e-37i; 0.008100000000164229+8.46e-37i,1.642297409176763e-13,0.0003253915871503,0.495680416526457,True,False,sampled_not_interval_certified,True,True
