rank,target,centre,expected_multiplicity,selected_count,selected_eigenvalues,max_numeric_error,radius,epsilon_m_gamma,pass_sampled_packet,contour_interval_certified,validation_status,pass_sampled_small_gain,sampled_validation_pass,diagnostic_status,configuration_digest,source_digest,cache_key
1,alpha^1,0.65,1,1,0.6500000000000001+0.00e+00i,1.1102230246251565e-16,0.1137499999999999,4.6421679990026785e-07,True,False,sampled_not_interval_certified,True,True,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
2,alpha^2,0.4225,1,1,0.4225000000000003+9.40e-38i,3.3306690738754696e-16,0.06124999999999908,1.5010406721401552e-06,True,False,sampled_not_interval_certified,True,True,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
3,mu^1,0.3,2,2,0.3000000000000003+1.10e-37i; 0.3000000000000022+1.26e-37i,2.1649348980190553e-15,0.012687500000001295,1.543002940891629e-05,True,False,sampled_not_interval_certified,True,True,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
4,alpha^3,0.274625,1,1,0.2746249999999996+9.42e-38i,4.440892098500626e-16,0.012687500000000379,1.5430026777576863e-05,True,False,sampled_not_interval_certified,True,True,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
5,alpha^4,0.17850625,1,1,0.1785062499999994+2.35e-38i,5.828670879282072e-16,0.031238593750000133,3.47881446262886e-06,True,False,sampled_not_interval_certified,True,True,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
6,alpha^5,0.1160290625,1,1,0.1160290625000003+9.41e-38i,3.191891195797325e-16,0.013014531249990906,2.7044845169666502e-05,True,False,sampled_not_interval_certified,True,True,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
7,mu^2,0.09,2,2,0.09000000000000064+7.59e-38i; 0.09000000000001851+1.40e-38i,1.8512968935624485e-14,0.007290554687525215,0.000123619349810939,True,False,sampled_not_interval_certified,True,True,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
8,alpha^6,0.075418890625,1,1,0.07541889062496808+2.33e-38i,3.191891195797325e-14,0.007290554687516278,0.00012361853279984806,True,False,sampled_not_interval_certified,True,True,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
9,alpha^7,0.04902227890625,1,1,0.04902227890624913+4.35e-39i,8.743006318923108e-16,0.008578898808484801,0.0001351528324375272,True,False,sampled_not_interval_certified,True,True,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
10,alpha^8,0.0318644812890625,1,1,0.03186448128928127+2.40e-38i,2.187694470023871e-13,0.0024322406446364037,0.0029855128739851608,True,False,sampled_not_interval_certified,True,True,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
