N,M,map_name,name,family,power,multiplicity,target,target_float,target_real_float,target_imag_float,target_abs_float,error,error_float,selected,gram_error,gram_error_float
12,12,blaschke_mu_0p3,alpha^1,alpha,1,1,0.65,0.65,0.65,0.0,0.65,0.00000000385443326478004785052170751290020167263075662043640809696824475498468874114618545681762771,3.8544332647800476e-09,['0.650000003854433264780047850521707512900201672630756620436408096968244754984688741146185457'],4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,alpha^2,alpha,2,1,0.4225,0.4225,0.4225,0.0,0.4225,0.00000135324515505202553578334078757589747205613375389846097361770601337980292309042487964731267,1.3532451550520256e-06,['0.422501353245155052025535783340787575897472056133753898460973617706013379802923090424879647'],4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,mu^1,mu,1,2,0.3,0.3,0.3,0.0,0.3,0.000168577318112744430980835803360404897556098975125104352374460570874099270450964926254394358,0.00016857731811274442,"['0.300131282997000098777861015499891858132551050280752706657651662110537067885379212227947993', '0.299831422681887255569019164196639595102443901024874895647625539429125900729549035073745606']",4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,alpha^3,alpha,3,1,0.274625,0.274625,0.274625,0.0,0.274625,0.000416825920645707660137445353839128593405308138617753866117025636155907963887333941742104343,0.0004168259206457077,['0.274208174079354292339862554646160871406594691861382246133882974363844092036112666058257896'],4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,alpha^4,alpha,4,1,0.17850625,0.17850625,0.17850625,0.0,0.17850625,0.0124228130864737850375124164210196309103794015986701015789805484534326267293521999163723572,0.012422813086473784,['0.190929063086473785037512416421019630910379401598670101578980548453432626729352199916372357'],4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,alpha^5,alpha,5,1,0.1160290625,0.1160290625,0.1160290625,0.0,0.1160290625,0.0341166759160561029191218301853989418217070773860061408164324789975761811460272228762264378,0.034116675916056105,['0.150145738416056102919121830185398941821707077386006140816432478997576181146027222876226438'],4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,mu^2,mu,2,2,0.09,0.09,0.09,0.0,0.09,0.0695143277059887745459653006212252656634957785067194116743017287252838516106041823584336411,0.06951432770598877,"['(0.09851927445999315309911401986112167157904992618593400539898794397905733103206787503668717 - 0.0689903161254600059852650165874278394599956105446812100065322205363994697588457727436295432j)', '(0.09851927445999315309911401986112167157904992618593400539898794397905733103206787503668717 + 0.0689903161254600059852650165874278394599956105446812100065322205363994697588457727436295432j)']",4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,alpha^6,alpha,6,1,0.075418890625,0.075418890625,0.075418890625,0.0,0.075418890625,0.0809384216400009283161014664878611530590662096969809254783670199896333279788794457682281759,0.08093842164000092,['(0.12184464719067268237472154375997914002723004002312930747521981563249777579854916868081627 + 0.0662999036566379211424523683519801979466777905327894261873343209595397566136631622360571028j)'],4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,alpha^7,alpha,7,1,0.04902227890625,0.04902227890625,0.04902227890625,0.0,0.04902227890625,0.0984823565286267962315705909777711863622801113332176628825468540042734064842808499028144088,0.0984823565286268,['(0.12184464719067268237472154375997914002723004002312930747521981563249777579854916868081627 - 0.0662999036566379211424523683519801979466777905327894261873343209595397566136631622360571028j)'],4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,alpha^8,alpha,8,1,0.0318644812890625,0.0318644812890625,0.0318644812890625,0.0,0.0318644812890625,0.9681355187109375,0.9681355187109375,['1.0'],4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,mu^3,mu,3,2,0.027,0.027,0.027,0.0,0.027,nan,,[],4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,alpha^9,alpha,9,1,0.020711912837890625,0.020711912837890624,0.020711912837890624,0.0,0.020711912837890624,nan,,[],4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,alpha^10,alpha,10,1,0.01346274334462890625,0.013462743344628906,0.013462743344628906,0.0,0.013462743344628906,nan,,[],4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,alpha^11,alpha,11,1,0.0087507831740087890625,0.00875078317400879,0.00875078317400879,0.0,0.00875078317400879,nan,,[],4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,mu^4,mu,4,2,0.0081,0.0081,0.0081,0.0,0.0081,nan,,[],4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,alpha^12,alpha,12,1,0.005688009063105712890625,0.005688009063105713,0.005688009063105713,0.0,0.005688009063105713,nan,,[],4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,alpha^13,alpha,13,1,0.00369720589101871337890625,0.0036972058910187135,0.0036972058910187135,0.0,0.0036972058910187135,nan,,[],4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,mu^5,mu,5,2,0.00243,0.00243,0.00243,0.0,0.00243,nan,,[],4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,alpha^14,alpha,14,1,0.0024031838291621636962890625,0.0024031838291621636,0.0024031838291621636,0.0,0.0024031838291621636,nan,,[],4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,alpha^15,alpha,15,1,0.001562069488955406402587890625,0.0015620694889554065,0.0015620694889554065,0.0,0.0015620694889554065,nan,,[],4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,alpha^16,alpha,16,1,0.00101534516782101416168212890625,0.0010153451678210142,0.0010153451678210142,0.0,0.0010153451678210142,nan,,[],4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,mu^6,mu,6,2,0.000729,0.000729,0.000729,0.0,0.000729,nan,,[],4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,alpha^17,alpha,17,1,0.0006599743590836592050933837890625,0.0006599743590836592,0.0006599743590836592,0.0,0.0006599743590836592,nan,,[],4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,alpha^18,alpha,18,1,0.000428983333404378483310699462890625,0.0004289833334043785,0.0004289833334043785,0.0,0.0004289833334043785,nan,,[],4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
