N,M,map_name,name,family,power,multiplicity,target,target_float,target_real_float,target_imag_float,target_abs_float,error,error_float,selected,gram_error,gram_error_float,m,is_reference_M,reference_error_at_max_M,excess_ratio_to_max_M,log10_excess_ratio_to_max_M
6,6,blaschke_mu_0p3,alpha^1,alpha,1,1,0.65,0.65,0.65,0.0,0.65,0.0000135874208805345059232423393118501177538668571550217024899104810609656009059237770695177163,1.3587420880534506e-05,['0.649986412579119465494076757660688149882246133142844978297510089518939034399094076222930482'],1.25336695376218174738792457662043183673620971457703840202933240212485322304787386353843815e-179,1.2533669537621818e-179,0,False,7.142642236220279e-06,1.9022961575245654,0.27927813066982454
6,6,blaschke_mu_0p3,alpha^2,alpha,2,1,0.4225,0.4225,0.4225,0.0,0.4225,0.0490721833201401019444471502401270272154996277456228261400273330659981923836963010120679134,0.0490721833201401,['(0.405901348862481683319646576477782075175693362282222122492450622325378629363123156008678233 - 0.0461796920325417320849956712220433319251709127349598815699252163067840228744659429322076001j)'],1.25336695376218174738792457662043183673620971457703840202933240212485322304787386353843815e-179,1.2533669537621818e-179,0,False,0.04889244977572102,1.0036761002004104,0.0015935827383604547
6,6,blaschke_mu_0p3,mu^1,mu,1,2,0.3,0.3,0.3,0.0,0.3,0.0813311163751854400875648147731735605193651785658563965032418601294202456334754303370731078,0.08133111637518543,"['(0.337709899511460431858210016103328647379230979994791388636562016796808130951014710606588084 + 0.0720604882697134763313952713026871958509587733595216097762289414243973885777041601304285277j)', '(0.337709899511460431858210016103328647379230979994791388636562016796808130951014710606588084 - 0.0720604882697134763313952713026871958509587733595216097762289414243973885777041601304285277j)']",1.25336695376218174738792457662043183673620971457703840202933240212485322304787386353843815e-179,1.2533669537621818e-179,0,False,0.07221259723976135,1.1262732471060228,0.05164376823632682
6,6,blaschke_mu_0p3,alpha^3,alpha,3,1,0.274625,0.274625,0.274625,0.0,0.274625,0.139161933469194061355288969132307209210663185297379969391268531705309494742704758028092636,0.13916193346919406,['(0.405901348862481683319646576477782075175693362282222122492450622325378629363123156008678233 + 0.0461796920325417320849956712220433319251709127349598815699252163067840228744659429322076001j)'],1.25336695376218174738792457662043183673620971457703840202933240212485322304787386353843815e-179,1.2533669537621818e-179,0,False,0.13902090906011857,1.0010144115013269,0.0004403300172288069
6,6,blaschke_mu_0p3,alpha^4,alpha,4,1,0.17850625,0.17850625,0.17850625,0.0,0.17850625,0.82149375,0.82149375,['1.0'],1.25336695376218174738792457662043183673620971457703840202933240212485322304787386353843815e-179,1.2533669537621818e-179,0,False,0.82149375,1.0,0.0
6,6,blaschke_mu_0p3,alpha^5,alpha,5,1,0.1160290625,0.1160290625,0.1160290625,0.0,0.1160290625,nan,,[],1.25336695376218174738792457662043183673620971457703840202933240212485322304787386353843815e-179,1.2533669537621818e-179,0,False,,,
6,6,blaschke_mu_0p3,mu^2,mu,2,2,0.09,0.09,0.09,0.0,0.09,nan,,[],1.25336695376218174738792457662043183673620971457703840202933240212485322304787386353843815e-179,1.2533669537621818e-179,0,False,,,
6,6,blaschke_mu_0p3,alpha^6,alpha,6,1,0.075418890625,0.075418890625,0.075418890625,0.0,0.075418890625,nan,,[],1.25336695376218174738792457662043183673620971457703840202933240212485322304787386353843815e-179,1.2533669537621818e-179,0,False,,,
6,6,blaschke_mu_0p3,alpha^7,alpha,7,1,0.04902227890625,0.04902227890625,0.04902227890625,0.0,0.04902227890625,nan,,[],1.25336695376218174738792457662043183673620971457703840202933240212485322304787386353843815e-179,1.2533669537621818e-179,0,False,,,
6,6,blaschke_mu_0p3,alpha^8,alpha,8,1,0.0318644812890625,0.0318644812890625,0.0318644812890625,0.0,0.0318644812890625,nan,,[],1.25336695376218174738792457662043183673620971457703840202933240212485322304787386353843815e-179,1.2533669537621818e-179,0,False,,,
