N,M,map_name,name,family,power,multiplicity,target,target_float,target_real_float,target_imag_float,target_abs_float,error,error_float,selected,gram_error,gram_error_float,m,is_reference_M,reference_error_at_max_M,excess_ratio_to_max_M,log10_excess_ratio_to_max_M
25,10,blaschke_mu_0p3,alpha^1,alpha,1,1,0.65,0.65,0.65,0.0,0.65,0.21798501289641856268929128904872644111562577787661361074790143867124666756330276515260569,0.21798501289641856,['0.43201498710358143731070871095127355888437422212338638925209856132875333243669723484739431'],5.93160313252117836313428123798042893601750042761576421314947061526904908231298903822149927,5.931603132521178,-15,False,2.5770275436851143e-17,8458776990202555.0,15.92730757523733
25,10,blaschke_mu_0p3,alpha^2,alpha,2,1,0.4225,0.4225,0.4225,0.0,0.4225,0.0672038751625170006079523420000116476116442662145649627387684983317270813464508033915821337,0.067203875162517,['0.355296124837482999392047657999988352388355733785435037261231501668272918653549196608417866'],5.93160313252117836313428123798042893601750042761576421314947061526904908231298903822149927,5.931603132521178,-15,False,1.8022102324530408e-15,37289697923334.86,13.571588865239555
25,10,blaschke_mu_0p3,mu^1,mu,1,2,0.3,0.3,0.3,0.0,0.3,0.3,0.3,"['5.22821065499874780765513343945689989572317042172990590338252576977949688710717912435916371e-181', '4.92689322898060528484486487171286229949754905807658072535374601428252061866587828928868348e-181']",5.93160313252117836313428123798042893601750042761576421314947061526904908231298903822149927,5.931603132521178,-15,False,1.1724304465661102e-16,2558787183313597.0,15.408034166717199
25,10,blaschke_mu_0p3,alpha^3,alpha,3,1,0.274625,0.274625,0.274625,0.0,0.274625,0.274625,0.274625,['3.35044866540927526061266309645797140087575752190654953821009570866461586342080695782757276e-181'],5.93160313252117836313428123798042893601750042761576421314947061526904908231298903822149927,5.931603132521178,-15,False,8.057554706811674e-13,340829209347.8909,11.532536807089429
25,10,blaschke_mu_0p3,alpha^4,alpha,4,1,0.17850625,0.17850625,0.17850625,0.0,0.17850625,0.17850625,0.17850625,['2.02053178641109596620227482431928728396690701489205139445419006044748536703473562510699726e-181'],5.93160313252117836313428123798042893601750042761576421314947061526904908231298903822149927,5.931603132521178,-15,False,8.184178948885144e-12,21811137209.349052,10.338678309818478
25,10,blaschke_mu_0p3,alpha^5,alpha,5,1,0.1160290625,0.1160290625,0.1160290625,0.0,0.1160290625,0.1160290625,0.1160290625,['2.22547929132457873296274455070706318897127418750756964415628765624702399812678679555700933e-181'],5.93160313252117836313428123798042893601750042761576421314947061526904908231298903822149927,5.931603132521178,-15,False,6.62355497104339e-09,17517641.660294436,7.243475638198461
25,10,blaschke_mu_0p3,mu^2,mu,2,2,0.09,0.09,0.09,0.0,0.09,0.09,0.09,"['1.17822444881789407227779291713075611300265722579025195257615550702467108305897806370357631e-181', '6.89832820514676050265145563906286191069596980816725479194807288597242505090481367158304197e-182']",5.93160313252117836313428123798042893601750042761576421314947061526904908231298903822149927,5.931603132521178,-15,False,2.1854527107602267e-07,411813.9896456181,5.6147010958582575
25,10,blaschke_mu_0p3,alpha^6,alpha,6,1,0.075418890625,0.075418890625,0.075418890625,0.0,0.075418890625,0.075418890625,0.075418890625,['-3.17495337563842866723193959283065815320022556474153785813101800421303723999771216979302378e-183'],5.93160313252117836313428123798042893601750042761576421314947061526904908231298903822149927,5.931603132521178,-15,False,4.790126681055497e-07,157446.54713052715,5.197133140815041
25,10,blaschke_mu_0p3,alpha^7,alpha,7,1,0.04902227890625,0.04902227890625,0.04902227890625,0.0,0.04902227890625,0.04902227890625,0.04902227890625,['-6.68396505418397353429162168160726076671393858131711814098860450764219802125450422547441568e-182'],5.93160313252117836313428123798042893601750042761576421314947061526904908231298903822149927,5.931603132521178,-15,False,9.815685335661921e-05,499.4279790952995,2.6984728688649944
25,10,blaschke_mu_0p3,alpha^8,alpha,8,1,0.0318644812890625,0.0318644812890625,0.0318644812890625,0.0,0.0318644812890625,0.0318644812890625,0.0318644812890625,['-1.16346333169399221780984373071351859187467159104975697907052948269667735315869835252539262e-181'],5.93160313252117836313428123798042893601750042761576421314947061526904908231298903822149927,5.931603132521178,-15,False,0.0015402777756643807,20.687490134899942,1.3157078040208434
25,10,blaschke_mu_0p3,mu^3,mu,3,2,0.027,0.027,0.027,0.0,0.027,0.027,0.027,"['-1.51495020388094211803379039479472939593758664403882689496387446294527402606743839083789437e-181', '-1.91413924616374628772612464576537512066786211004142987650611522802873923429244908789387999e-181']",5.93160313252117836313428123798042893601750042761576421314947061526904908231298903822149927,5.931603132521178,-15,False,0.006731303012703456,4.011110471337427,0.6032646231961994
25,10,blaschke_mu_0p3,alpha^9,alpha,9,1,0.020711912837890625,0.020711912837890624,0.020711912837890624,0.0,0.020711912837890624,0.020711912837890625,0.020711912837890624,['-2.21256713469005821970079270422433051926894660169189997950988573868433133522531562812220476e-181'],5.93160313252117836313428123798042893601750042761576421314947061526904908231298903822149927,5.931603132521178,-15,False,0.010590862004576913,1.9556399496981294,0.2912889004246055
25,10,blaschke_mu_0p3,alpha^10,alpha,10,1,0.01346274334462890625,0.013462743344628906,0.013462743344628906,0.0,0.013462743344628906,0.01346274334462890625,0.013462743344628906,['-6.18138867659729033482568308152530293503652025281564318242489008066106607508460146120053463e-181'],5.93160313252117836313428123798042893601750042761576421314947061526904908231298903822149927,5.931603132521178,-15,False,0.013409763460758346,1.0039508440268612,0.001712449173035994
25,10,blaschke_mu_0p3,alpha^11,alpha,11,1,0.0087507831740087890625,0.00875078317400879,0.00875078317400879,0.0,0.00875078317400879,0.0087507831740087890625,0.00875078317400879,['-7.46803909565455668869105900320870713461033356719121341789034855634724671877665854514358029e-181'],5.93160313252117836313428123798042893601750042761576421314947061526904908231298903822149927,5.931603132521178,-15,False,0.01343554943815535,0.6513156171460778,-0.18620850825452206
25,10,blaschke_mu_0p3,mu^4,mu,4,2,0.0081,0.0081,0.0081,0.0,0.0081,1.04368857217322789925128891095352340043714306408952637362764012927690979709343188944573919,1.0436885721732279,"['-0.661371067051664217961618495581525173219801852461089174766127590863021749150927596799606626', '1.05178857217322789925128891095352340043714306408952637362764012927690979709343188944573919']",5.93160313252117836313428123798042893601750042761576421314947061526904908231298903822149927,5.931603132521178,-15,False,0.014763984254666167,70.69152568646024,1.849367354840823
