target_rank,map_label,target_mode,N,M,map_name,name,family,power,multiplicity,target,target_float,target_real_float,target_imag_float,target_abs_float,error,error_float,selected,gram_error,gram_error_float
1,blaschke_mu_0p3,exact,100,100,blaschke_mu_0p3,alpha^1,alpha,1,1,0.65,0.65,0.65,0.0,0.65,3.99818525447466615460697696125027485018344413223924915664866509307076333543360716876759392e-67,3.998185254474666e-67,['0.650000000000000000000000000000000000000000000000000000000000000000399818525447466615460698'],4.44820095539165646459041712619704765666534375380351464978650878539080829922524278248266012e-177,4.4482009553916565e-177
2,blaschke_mu_0p3,exact,100,100,blaschke_mu_0p3,alpha^2,alpha,2,1,0.4225,0.4225,0.4225,0.0,0.4225,6.01587337608710715440178983346915161213312561973410557061760484336610104361373006674141569e-63,6.015873376087107e-63,['0.422500000000000000000000000000000000000000000000000000000000006015873376087107154401789833'],4.44820095539165646459041712619704765666534375380351464978650878539080829922524278248266012e-177,4.4482009553916565e-177
3,blaschke_mu_0p3,exact,100,100,blaschke_mu_0p3,mu^1,mu,1,2,0.3,0.3,0.3,0.0,0.3,9.71563378538771060239914644668057264852932639084115360684968791288752393189160961231642769e-133,9.71563378538771e-133,"['0.3', '0.3']",4.44820095539165646459041712619704765666534375380351464978650878539080829922524278248266012e-177,4.4482009553916565e-177
4,blaschke_mu_0p3,exact,100,100,blaschke_mu_0p3,alpha^3,alpha,3,1,0.274625,0.274625,0.274625,0.0,0.274625,3.52530834766250476791307418443306132338730859726560165704354261311238037023523162330246814e-60,3.5253083476625047e-60,['0.274625000000000000000000000000000000000000000000000000000003525308347662504767913074184433'],4.44820095539165646459041712619704765666534375380351464978650878539080829922524278248266012e-177,4.4482009553916565e-177
5,blaschke_mu_0p3,exact,100,100,blaschke_mu_0p3,alpha^4,alpha,4,1,0.17850625,0.17850625,0.17850625,0.0,0.17850625,2.63022140918574665896453124125174209227195039320736034962273539716099795417670210537813476e-57,2.6302214091857465e-57,['0.178506250000000000000000000000000000000000000000000000002630221409185746658964531241251742'],4.44820095539165646459041712619704765666534375380351464978650878539080829922524278248266012e-177,4.4482009553916565e-177
6,blaschke_mu_0p3,exact,100,100,blaschke_mu_0p3,alpha^5,alpha,5,1,0.1160290625,0.1160290625,0.1160290625,0.0,0.1160290625,4.67917510164334253547287442522836175249839602272161142311836465875882800477842300679425661e-55,4.6791751016433426e-55,['0.116029062500000000000000000000000000000000000000000000467917510164334253547287442522836175'],4.44820095539165646459041712619704765666534375380351464978650878539080829922524278248266012e-177,4.4482009553916565e-177
7,blaschke_mu_0p3,exact,100,100,blaschke_mu_0p3,mu^2,mu,2,2,0.09,0.09,0.09,0.0,0.09,7.44386186073379133385101807621678016579634804554702965835807791742087662068397041254771667e-97,7.443861860733791e-97,"['0.09', '0.09']",4.44820095539165646459041712619704765666534375380351464978650878539080829922524278248266012e-177,4.4482009553916565e-177
8,blaschke_mu_0p3,exact,100,100,blaschke_mu_0p3,alpha^6,alpha,6,1,0.075418890625,0.075418890625,0.075418890625,0.0,0.075418890625,6.10120117637835110942507177543269980387107551707893439214337348559337093577844440244071615e-53,6.1012011763783515e-53,['0.0754188906249999999999999999999999999999999999999999389879882362164889057492822456730019613'],4.44820095539165646459041712619704765666534375380351464978650878539080829922524278248266012e-177,4.4482009553916565e-177
9,blaschke_mu_0p3,exact,100,100,blaschke_mu_0p3,alpha^7,alpha,7,1,0.04902227890625,0.04902227890625,0.04902227890625,0.0,0.04902227890625,2.27545137491298505434457810871049424342459141062220022612028935048009688537128744663732663e-52,2.275451374912985e-52,['0.0490222789062499999999999999999999999999999999999997724548625087014945655421891289505756575'],4.44820095539165646459041712619704765666534375380351464978650878539080829922524278248266012e-177,4.4482009553916565e-177
10,blaschke_mu_0p3,exact,100,100,blaschke_mu_0p3,alpha^8,alpha,8,1,0.0318644812890625,0.0318644812890625,0.0318644812890625,0.0,0.0318644812890625,4.47168684215993232823906914648149703593106225675654184939234054150252343431023089462351479e-48,4.471686842159932e-48,['0.0318644812890624999999999999999999999999999999955283131578400676717609308535185029640689377'],4.44820095539165646459041712619704765666534375380351464978650878539080829922524278248266012e-177,4.4482009553916565e-177
11,blaschke_mu_0p3,exact,100,100,blaschke_mu_0p3,mu^3,mu,3,2,0.027,0.027,0.027,0.0,0.027,4.5698117923230422241064387625788553336752431978843693692003005350799342802296666629057788e-75,4.569811792323042e-75,"['0.0269999999999999999999999999999999999999999999999999999999999999999999999997012361384423243', '0.0270000000000000000000000000000000000000000000000000000000000000000000000045698117923230422']",4.44820095539165646459041712619704765666534375380351464978650878539080829922524278248266012e-177,4.4482009553916565e-177
