map_label,target_mode,N,M,map_name,name,family,power,multiplicity,target,target_float,target_real_float,target_imag_float,target_abs_float,error,error_float,selected,gram_error,gram_error_float
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,alpha^1,alpha,1,1,0.65,0.65,0.65,0.0,0.65,0.0000000576688848305973288609396835780980103767622317096415909386900827056067589460941654765492914,5.7668884830597326e-08,['0.650000057668884830597328860939683578098010376762231709641590938690082705606758946094165477'],3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,alpha^2,alpha,2,1,0.4225,0.4225,0.4225,0.0,0.4225,0.0000445988354707227722205332873917535443196375752883592369150155080325697682038687194472970636,4.459883547072277e-05,['0.422455401164529277227779466712608246455680362424711640763084984491967430231796131280552703'],3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,mu^1,mu,1,2,0.3,0.3,0.3,0.0,0.3,0.00700934956530128972215794650093333188867311867957981642161506560759096935388569408016354763,0.00700934956530129,"['0.303607503810292790770988687282956455028575772476958582383552196822102323498549319283779469', '0.292990650434698710277842053499066668111326881320420183578384934392409030646114305919836452']",3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,alpha^3,alpha,3,1,0.274625,0.274625,0.274625,0.0,0.274625,0.0123311371684770325770068105520637317720874368413227290370362133195129735826714416283177469,0.012331137168477033,['0.286956137168477032577006810552063731772087436841322729037036213319512973582671441628317747'],3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,alpha^4,alpha,4,1,0.17850625,0.17850625,0.17850625,0.0,0.17850625,0.0659553656427027384830094840466221876142275248917325949972173363015445435697621884212914046,0.06595536564270274,['(0.188591796363799145143907584385325812278455876441146071822685283189141707089442019953642327 + 0.0651796901772804582943121673826578747033309275109255686666762271704142600596873000210716199j)'],3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,alpha^5,alpha,5,1,0.1160290625,0.1160290625,0.1160290625,0.0,0.1160290625,0.0806501420561081073735765625747800023247264247996381685066475179270765414180488947711606171,0.08065014205610811,['(0.153521462358657070926512953965762573727309294087662983041355936570757225385242452094637088 + 0.0714056395987669093382000928811487111622700635097366640333340579044347368578924188900153618j)'],3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,mu^2,mu,2,2,0.09,0.09,0.09,0.0,0.09,0.11818940020935510695255270000933109172927002452542607190924377865120397451113724596454478,0.1181894002093551,"['(0.153521462358657070926512953965762573727309294087662983041355936570757225385242452094637088 - 0.0714056395987669093382000928811487111622700635097366640333340579044347368578924188900153618j)', '(0.188591796363799145143907584385325812278455876441146071822685283189141707089442019953642327 - 0.0651796901772804582943121673826578747033309275109255686666762271704142600596873000210716199j)']",3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,alpha^6,alpha,6,1,0.075418890625,0.075418890625,0.075418890625,0.0,0.075418890625,0.924581109375,0.924581109375,['1.0'],3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,alpha^7,alpha,7,1,0.04902227890625,0.04902227890625,0.04902227890625,0.0,0.04902227890625,nan,,[],3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,alpha^8,alpha,8,1,0.0318644812890625,0.0318644812890625,0.0318644812890625,0.0,0.0318644812890625,nan,,[],3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
