map_label,target_mode,N,M,map_name,eig_index,eig,eig_re,eig_im,eig_abs,gram_error,gram_error_float
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,0,1.0,1.0,3.50880633917925e-182,1.0,3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,1,0.422455401164529277227779466712608246455680362424711640763084984491967430231796131280552703,0.4224554011645293,2.0648803660512177e-181,0.4224554011645293,3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,2,0.303607503810292790770988687282956455028575772476958582383552196822102323498549319283779469,0.3036075038102928,2.1162597053441425e-181,0.3036075038102928,3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,3,(0.188591796363799145143907584385325812278455876441146071822685283189141707089442019953642327 - 0.0651796901772804582943121673826578747033309275109255686666762271704142600596873000210716199j),0.18859179636379914,-0.06517969017728045,0.19953760965625242,3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,4,(0.188591796363799145143907584385325812278455876441146071822685283189141707089442019953642327 + 0.0651796901772804582943121673826578747033309275109255686666762271704142600596873000210716199j),0.18859179636379914,0.06517969017728045,0.19953760965625242,3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,5,0.650000057668884830597328860939683578098010376762231709641590938690082705606758946094165477,0.6500000576688848,9.10154361841542e-183,0.6500000576688848,3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,6,0.292990650434698710277842053499066668111326881320420183578384934392409030646114305919836452,0.2929906504346987,-7.190058294089205e-181,0.2929906504346987,3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,7,0.286956137168477032577006810552063731772087436841322729037036213319512973582671441628317747,0.286956137168477,6.44324491544438e-181,0.286956137168477,3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,8,(0.153521462358657070926512953965762573727309294087662983041355936570757225385242452094637088 - 0.0714056395987669093382000928811487111622700635097366640333340579044347368578924188900153618j),0.15352146235865707,-0.0714056395987669,0.16931510497073068,3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,9,(0.153521462358657070926512953965762573727309294087662983041355936570757225385242452094637088 + 0.0714056395987669093382000928811487111622700635097366640333340579044347368578924188900153618j),0.15352146235865707,0.0714056395987669,0.16931510497073068,3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,0,1.0,1.0,1.5564975643011488e-181,1.0,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,1,0.422499999990037140786966100364716122482709446277425216785108617655967888612776987698826583,0.4224999999900371,1.4221221825129432e-181,0.4224999999900371,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,2,0.299999999989529084101199821859665682846091021803326267313735893567820457530898913161749634,0.2999999999895291,-7.401344896694357e-183,0.2999999999895291,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,3,0.178506318153526410482287713131156983448778972832671999871415400319833013741961319594602734,0.1785063181535264,-7.76951458437988e-182,0.1785063181535264,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,4,(0.0123521036580644934130958952633150679534361290145892173310075285478752686881413426667878231 - 0.0305848258914523967464792561390631963815881297083194649255203487968559046109182192865863609j),0.012352103658064493,-0.030584825891452398,0.03298493655579812,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,5,0.0782640575360150133652612487257433944478772250928429645307988319605751464609537227364768857,0.07826405753601501,1.5857466519774154e-181,0.07826405753601501,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,6,0.0892482078346729355208284570356261278282507617076921887619748187743873791103523133983531336,0.08924820783467294,1.5229235708654524e-182,0.08924820783467294,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,7,(0.0123521036580644934130958952633150679534361290145892173310075285478752686881413426667878231 + 0.0305848258914523967464792561390631963815881297083194649255203487968559046109182192865863609j),0.012352103658064493,0.030584825891452398,0.03298493655579812,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,8,(0.0450024508863542930921506768766517387559529803242277453567803893276743306163911460943694307 - 0.019734420287627234310842692768836698563044942317833647665038922558194462349633899819570974j),0.045002450886354295,-0.019734420287627234,0.04913927075026087,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,9,(0.0450024508863542930921506768766517387559529803242277453567803893276743306163911460943694307 + 0.019734420287627234310842692768836698563044942317833647665038922558194462349633899819570974j),0.045002450886354295,0.019734420287627234,0.04913927075026087,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,10,0.649999999999995852481158380662320262747127839669310634544219898798775076043230095264042379,0.6499999999999958,1.844663297659374e-181,0.6499999999999958,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,11,0.300000000004816359865057368465021311320649527441093970795228372717016356053113828009839817,0.30000000000481636,8.425799015013547e-181,0.30000000000481636,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,12,0.274624999766315513800833082159428606354149577253508535383612470895653413188020120457840309,0.2746249997663155,-8.533011361689106e-181,0.2746249997663155,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,13,0.116038859843283967354859277122264993714829669583737037573640960590882724748362131748154426,0.11603885984328396,2.462053897148936e-181,0.11603885984328396,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,14,0.0898261441263216715559588197136356706544854074510010452588713308718353515209339502361784196,0.08982614412632167,-3.895073871301954e-181,0.08982614412632167,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,15,(0.0074041274400414663188282100755423869431431163162937167565088636987970038637769132023576666 - 0.027293532411049890131874956116871510440874554391665846446133197986463775838385771523039507j),0.007404127440041467,-0.02729353241104989,0.02827999318637481,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,16,(0.0372000494701469601127069611076993947422584464236747824919664530855400900637399162641959666 - 0.0209835104356133838449416375106423979353054203327579020348411627676394152892005241997256454j),0.03720004947014696,-0.020983510435613383,0.042710085352090754,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,17,0.0558993215353535524666677629969685785751758901410107900050951473364055712019501925559542925,0.055899321535353555,5.79672943346203e-182,0.055899321535353555,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,18,(0.0372000494701469601127069611076993947422584464236747824919664530855400900637399162641959666 + 0.0209835104356133838449416375106423979353054203327579020348411627676394152892005241997256454j),0.03720004947014696,0.020983510435613383,0.042710085352090754,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,19,(0.0074041274400414663188282100755423869431431163162937167565088636987970038637769132023576666 + 0.027293532411049890131874956116871510440874554391665846446133197986463775838385771523039507j),0.007404127440041467,0.02729353241104989,0.02827999318637481,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,30,30,blaschke_mu_0p3,0,1.0,1.0,-1.591342647526305e-182,1.0,1.77436652171873881623401074375944909969734446012688714808256539603539568711992767128056817e-178,1.7743665217187388e-178
blaschke_mu_0p3,exact,30,30,blaschke_mu_0p3,1,0.422499999999999992088981968599023636697496683477792503486470327224336489369229277924065762,0.4225,5.278623386743729e-184,0.4225,1.77436652171873881623401074375944909969734446012688714808256539603539568711992767128056817e-178,1.7743665217187388e-178
blaschke_mu_0p3,exact,30,30,blaschke_mu_0p3,2,0.178506249999966172965012390772777539796926638458802607574140485168772438223132729999339092,0.17850624999996617,6.492215273381297e-182,0.17850624999996617,1.77436652171873881623401074375944909969734446012688714808256539603539568711992767128056817e-178,1.7743665217187388e-178
blaschke_mu_0p3,exact,30,30,blaschke_mu_0p3,3,0.300000000000000000000045967540208247529788484641843863356858776021545046155676481620719726,0.3,4.5775370380153085e-182,0.3,1.77436652171873881623401074375944909969734446012688714808256539603539568711992767128056817e-178,1.7743665217187388e-178
blaschke_mu_0p3,exact,30,30,blaschke_mu_0p3,4,0.0754188901948160065416087207078456183705106142108992694483290687840956118016796248245317129,0.07541889019481601,4.8226933349837385e-182,0.07541889019481601,1.77436652171873881623401074375944909969734446012688714808256539603539568711992767128056817e-178,1.7743665217187388e-178
