target_rank,map_label,target_mode,name,family,power,multiplicity,target,target_float,target_real_float,target_imag_float,target_abs_float
1,blaschke_mu_0p3,exact,alpha^1,alpha,1,1,0.65,0.65,0.65,0.0,0.65
2,blaschke_mu_0p3,exact,alpha^2,alpha,2,1,0.4225,0.4225,0.4225,0.0,0.4225
3,blaschke_mu_0p3,exact,mu^1,mu,1,2,0.3,0.3,0.3,0.0,0.3
4,blaschke_mu_0p3,exact,alpha^3,alpha,3,1,0.274625,0.274625,0.274625,0.0,0.274625
5,blaschke_mu_0p3,exact,alpha^4,alpha,4,1,0.17850625,0.17850625,0.17850625,0.0,0.17850625
6,blaschke_mu_0p3,exact,alpha^5,alpha,5,1,0.1160290625,0.1160290625,0.1160290625,0.0,0.1160290625
7,blaschke_mu_0p3,exact,mu^2,mu,2,2,0.09,0.09,0.09,0.0,0.09
8,blaschke_mu_0p3,exact,alpha^6,alpha,6,1,0.075418890625,0.075418890625,0.075418890625,0.0,0.075418890625
9,blaschke_mu_0p3,exact,alpha^7,alpha,7,1,0.04902227890625,0.04902227890625,0.04902227890625,0.0,0.04902227890625
10,blaschke_mu_0p3,exact,alpha^8,alpha,8,1,0.0318644812890625,0.0318644812890625,0.0318644812890625,0.0,0.0318644812890625
11,blaschke_mu_0p3,exact,mu^3,mu,3,2,0.027,0.027,0.027,0.0,0.027
12,blaschke_mu_0p3,exact,alpha^9,alpha,9,1,0.020711912837890625,0.020711912837890624,0.020711912837890624,0.0,0.020711912837890624
13,blaschke_mu_0p3,exact,alpha^10,alpha,10,1,0.01346274334462890625,0.013462743344628906,0.013462743344628906,0.0,0.013462743344628906
14,blaschke_mu_0p3,exact,alpha^11,alpha,11,1,0.0087507831740087890625,0.00875078317400879,0.00875078317400879,0.0,0.00875078317400879
15,blaschke_mu_0p3,exact,mu^4,mu,4,2,0.0081,0.0081,0.0081,0.0,0.0081
16,blaschke_mu_0p3,exact,alpha^12,alpha,12,1,0.005688009063105712890625,0.005688009063105713,0.005688009063105713,0.0,0.005688009063105713
17,blaschke_mu_0p3,exact,alpha^13,alpha,13,1,0.00369720589101871337890625,0.0036972058910187135,0.0036972058910187135,0.0,0.0036972058910187135
18,blaschke_mu_0p3,exact,mu^5,mu,5,2,0.00243,0.00243,0.00243,0.0,0.00243
19,blaschke_mu_0p3,exact,alpha^14,alpha,14,1,0.0024031838291621636962890625,0.0024031838291621636,0.0024031838291621636,0.0,0.0024031838291621636
20,blaschke_mu_0p3,exact,alpha^15,alpha,15,1,0.001562069488955406402587890625,0.0015620694889554065,0.0015620694889554065,0.0,0.0015620694889554065
21,blaschke_mu_0p3,exact,alpha^16,alpha,16,1,0.00101534516782101416168212890625,0.0010153451678210142,0.0010153451678210142,0.0,0.0010153451678210142
22,blaschke_mu_0p3,exact,mu^6,mu,6,2,0.000729,0.000729,0.000729,0.0,0.000729
23,blaschke_mu_0p3,exact,alpha^17,alpha,17,1,0.0006599743590836592050933837890625,0.0006599743590836592,0.0006599743590836592,0.0,0.0006599743590836592
24,blaschke_mu_0p3,exact,alpha^18,alpha,18,1,0.000428983333404378483310699462890625,0.0004289833334043785,0.0004289833334043785,0.0,0.0004289833334043785
